,id_bacha,id_interno,name_interno,Unnamed: 3,precio_bacha,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
284,LL056.0200,2256,POETT LIQUIDO X 900CC PRIMAVERA **,21.0,71.5,45.0,103.68,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 900CC
285,LL056.0203,2257,POETT LIQUIDO X 900CC SOLO PARA TI **,21.0,71.5,45.0,103.68,0.0,0.0,102.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 900CC
286,LD032.0042,2243,POETT PASTILLA INODORO RED X 25 GRS (12UXB) **,21.0,68.2,45.0,99.0,0.0,0.0,0.0,$,,,LIMPIADORES DE BAÑO E INODORO,,EL BACHA,POETT,,,,,,,POETT PASTILLA INODORO
287,LL055.0011,2318,PROCENEX BIDON X 5L BLANCO ORIGINAL **,21.0,399.0,45.0,597.0,0.0,0.0,597.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 5L
288,LL058.0139,2319,PROCENEX BIDON X 5L JARDIN **,21.0,0.0,0.0,424.0,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 5L
289,LL058.0141,2320,PROCENEX BIDON X 5L LAVANDA **,21.0,0.0,0.0,424.0,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 5L
290,LL058.0143,2321,PROCENEX BIDON X 5L MARINA **,21.0,0.0,0.0,424.0,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 5L
291,LL056.0335,2315,PROCENEX LIQUIDO X 1800ML BEBE,21.0,0.0,0.0,193.0,140.0,0.0,193.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 1800ML
292,LL054.0030,2317,PROCENEX LIQUIDO X 1800ML BLANCO ** ORIGINAL,21.0,0.0,0.0,245.0,0.0,0.0,225.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 1800ML
293,LL056.0339,2311,PROCENEX LIQUIDO X 1800ML FLORES JARDIN,21.0,0.0,0.0,193.0,140.0,0.0,193.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 1800ML
